PFT_Index,PFT_Name,Total_Area_km2,Mean_Percent,Max_Percent,Std_Percent,Significant_Cells
0,bare soil,399266726.2593721,81.0107139442939,100.0,36.82028990141275,227437
1,needleleaf evergreen temperate tree,5610969.683809201,0.9351127693039036,100.0,6.143412119111171,8213
2,needleleaf evergreen boreal tree,10727475.46019319,2.4639668236453733,100.0,12.600066172040536,12971
3,needleleaf deciduous boreal tree,1522602.6947316113,0.40708751482767613,98.0,4.090555890650174,4005
4,broadleaf evergreen tropical tree,15366885.968878081,1.938635876281088,100.0,11.958006558309568,8815
5,broadleaf evergreen temperate tree,2558523.143490104,0.3811242440435556,100.0,4.585425253196633,2696
6,broadleaf deciduous tropical tree,13602726.257791325,1.7580837806457854,100.0,8.510571110051625,14354
7,broadleaf deciduous temperate tree,5585137.62812752,0.9123386637218879,100.0,5.625759197766118,9332
8,broadleaf deciduous boreal tree,2189194.1431556772,0.4602517373223592,100.0,3.3982249627282783,5485
9,broadleaf evergreen shrub,289884.7657672639,0.04262679165893691,81.0,1.1755212060692075,460
10,broadleaf deciduous temperate shrub,4220158.219816002,0.6260196571344097,80.0,4.746999818696806,5609
11,broadleaf deciduous boreal shrub,9044885.250514556,2.5959711524617055,83.0,11.45029828671893,16014
12,C3 arctic grass,4939917.4360218765,1.2206241749999422,95.0,5.600437772037818,16999
13,C3 non-arctic grass,15830692.481271153,2.5379891671803425,98.33333333333334,10.526445284542326,19935
14,C4 grass,13112548.337456178,1.7184486895930415,99.0,8.90443127598612,13578
15,C3 crop,6231419.797238118,0.991005012886078,100.0,5.500785817358328,10766
16,C4 crop,0.0,0.0,0.0,0.0,0
